PNODEID,PNODENAME,PNODETYPE,STATE
49161,SUNBURY 69 KV BUS1E,LOAD,PA
49162,SUNBURY 69 KV BUS2W,LOAD,PA
49163,SUNBURY 69 KV BUS2E,LOAD,PA
49164,SUNBURY 138 KV LBRG,LOAD,PA
49165,SUSQUEHA230 KV TRAN20,LOAD,PA
49166,SUSQT10 230 KV T10,LOAD,PA
49167,WHEMPFIE69 KV BUS_N,LOAD,PA
49168,WHEMPFIE69 KV BUS_S,LOAD,PA
49171,WSHORE 69 KV BUS2,LOAD,PA
49172,WSHORE 69 KV BUS1,LOAD,PA
49173,WESCOSVI69 KV 69_1,LOAD,PA
49174,WESCOSVI69 KV 69_3,LOAD,PA
49177,BETHSTL 34 KV LD1,LOAD,MD
49178,CALVERTC500 KV LDR,LOAD,MD
49179,CALVERTC500 KV LDB,LOAD,MD
49188,COLONIAL115 KV ONE,LOAD,MD
49189,CONC BC 13 KV ONE,LOAD,MD
49190,CONC BC 13 KV TWO,LOAD,MD
49193,DELIGHT 13 KV ONE,LOAD,MD
49194,DELIGHT 13 KV TWO,LOAD,MD
49195,DOLFIELD13 KV 110-5,LOAD,MD
49196,DOLFIELD13 KV 110-6,LOAD,MD
49197,DOLFIELD34 KV 110-1,LOAD,MD
49198,DOLFIELD34 KV 110-2,LOAD,MD
49199,DOLFIELD34 KV 110-3,LOAD,MD
49200,EASTPT 34 KV ONE,LOAD,MD
49201,EASTPT 34 KV TWO,LOAD,MD
49202,EASTPT 34 KV THREE,LOAD,MD
49205,ERDMAN 13 KV ONE,LOAD,MD
49206,ERDMAN 13 KV TWO,LOAD,MD
49207,FRED BC 13 KV 110-3,LOAD,MD
49208,FRED BC 13 KV 110-4,LOAD,MD
49209,FRED BC 34 KV 110-1,LOAD,MD
49210,FRED BC 34 KV 110-2,LOAD,MD
49211,FULLERTO13 KV ONE,LOAD,MD
49212,FULLERTO13 KV TWO,LOAD,MD
49213,GLENARM 13 KV ONE,LOAD,MD
49215,GOULDST 13 KV ONE,LOAD,MD
49216,GOULDST 13 KV TWO,LOAD,MD
49217,GRAYMANO13 KV ONE,LOAD,MD
49218,GRAYMANO13 KV TWO,LOAD,MD
49225,HAZELWOO13 KV 110-8,LOAD,MD
49226,HAZELWOO13 KV 110-9,LOAD,MD
49227,HAZELWOO115 KV HILEN2,LOAD,MD
49228,HAZELWOO115 KV HILEN4,LOAD,MD
49229,HOLLOFIE13 KV TWO,LOAD,MD
49230,HOLLOFIE13 KV ONE,LOAD,MD
